ticker,sector
AAPL,IT
ADAP,Pharmaceuticals
AGCO,Agriculture
BA,Military Engineering
BG,Agriculture
CALM,Agriculture
CAT,Engineering
CSCO,IT
CVX,Natural Resources
DDOG,IT
DE,Agriculture
GRWG,Agriculture
HUM,Healthcare
IBKR,Finance
IEX,Engineering
JPM,Finance
KO,Food & Beverage
LMT,Military Engineering
MS,Finance
MSCI,Finance
MSFT,IT
NFLX,Entertainment
OSK,Engineering
PFE,Pharmaceuticals
PG,Consumer Goods
SPY,Finance
TMUS,Telecommunications
